building_id,damage_numeric,predicted_severity
285902000571,3.0,3.4586209874325675
285902000601,4.0,3.4335662869212613
285902000621,4.0,3.561053268671486
285902000631,2.0,3.45045200956577
285902000661,3.0,3.4335662869212613
285902000671,3.0,3.309252535941957
285902000721,4.0,3.4586209874325675
285902000811,3.0,3.4586209874325675
285902000822,4.0,3.4586209874325675
285902000862,5.0,4.987913556129212
285902000891,4.0,3.309252535941957
285902000931,5.0,4.987913556129212
285902000941,4.0,3.4586209874325675
285902001081,3.0,3.4335662869212613
285902001101,4.0,3.4586209874325675
285902001151,3.0,3.4586209874325675
285902001171,3.0,3.4586209874325675
285902001211,4.0,3.4586209874325675
285902001391,3.0,3.4586209874325675
285902001441,3.0,3.4335662869212613
285902001451,3.0,3.309252535941957
285902001461,4.0,3.45045200956577
285902001541,3.0,3.4586209874325675
285902001561,2.0,3.4444209408994584
285902001631,5.0,4.987913556129212
285902001661,2.0,3.285709970330308
285903000031,5.0,4.987913556129212
285903000071,5.0,4.987913556129212
285903000092,1.0,1.578989911701069
285903000101,3.0,3.1569218751837833
285903000171,2.0,2.886238680795673
285903000191,3.0,2.5339888341299517
285903000201,1.0,1.5834819751065996
285903000221,3.0,3.4586209874325675
285903000301,3.0,3.45045200956577
285903000431,4.0,3.1706010999500496
285903000521,5.0,4.987913556129212
285903000551,5.0,4.987913556129212
285903000581,5.0,4.987913556129212
285903000652,2.0,3.45045200956577
285903000711,4.0,3.4672080290118084
285903000721,5.0,4.987913556129212
285903000901,4.0,3.4335662869212613
285903000941,2.0,3.3090264212524887
285903000971,2.0,3.45045200956577
285903001001,3.0,3.2528942925532904
285903001101,4.0,3.3090264212524887
285903001111,4.0,3.4586209874325675
285903001121,5.0,4.987913556129212
285903001151,5.0,4.987913556129212
285903001221,2.0,3.3090264212524887
285903001251,1.0,3.45045200956577
285903001261,3.0,3.5998253822918964
285903001362,4.0,3.4672080290118084
285903001371,5.0,4.987913556129212
285903001381,4.0,3.4444209408994584
285903001391,5.0,4.987913556129212
285903001431,5.0,4.95996818476215
285903001471,5.0,4.987913556129212
285903001561,3.0,3.6207535250195026
285903001621,3.0,3.4586209874325675
285903001681,4.0,3.45045200956577
285903001731,5.0,4.987913556129212
285903001761,4.0,3.352913355478731
285904000011,5.0,4.987913556129212
285904000062,4.0,3.6207535250195026
285904000131,5.0,4.987913556129212
285904000281,5.0,4.987913556129212
285904000311,2.0,2.844022529923909
285904000321,2.0,2.528023331290054
285904000331,2.0,1.8801919559024955
