building_id,damage_numeric,predicted_severity
235801000471,2.0,1.8093491046229162
235801000581,1.0,2.058333455469558
235801000582,3.0,2.3945564805340096
235801000641,5.0,5.0
235801000651,5.0,5.0
235801000652,2.0,1.7996325848767163
235801000691,5.0,5.0
235801000701,4.0,3.1778267917336014
235801000711,5.0,5.0
235801000751,3.0,2.0764390002536826
235801000761,5.0,5.0
235801000791,5.0,5.0
235801000821,4.0,3.41986732045399
235801000851,5.0,5.0
235801000861,5.0,5.0
235801000891,5.0,5.0
235801000931,5.0,5.0
235801000951,5.0,5.0
235801000981,3.0,1.8260187045294662
235801000993,4.0,3.4518382153772524
235801001191,5.0,5.0
235801001231,5.0,5.0
235801001301,4.0,3.374846775058254
235801001371,5.0,5.0
235801001391,5.0,5.0
235801001411,5.0,5.0
235801001521,5.0,5.0
235801001541,5.0,5.0
235801001611,5.0,5.0
235801001651,4.0,3.5691408885755918
235801001661,4.0,3.578704846574208
235801001671,5.0,5.0
235801001691,5.0,5.0
235801001741,5.0,5.0
235801001771,5.0,5.0
235801001802,1.0,1.8260187045294662
235801001881,5.0,5.0
235801001891,5.0,5.0
235801001971,5.0,5.0
235801001981,3.0,1.9356076077812494
235801002021,5.0,5.0
235801002111,5.0,5.0
235801002211,5.0,5.0
235801002221,5.0,5.0
235801002261,5.0,5.0
235801002311,3.0,1.7996325848767163
235801002371,5.0,5.0
235801002461,5.0,5.0
235801002541,5.0,5.0
235801002601,5.0,5.0
235801002701,5.0,5.0
235801002721,5.0,5.0
235801002781,5.0,5.0
235801002791,5.0,5.0
235801002821,4.0,3.599632989301814
235801002841,5.0,5.0
235801002871,4.0,3.5691408885755918
235801002951,5.0,5.0
235801002991,5.0,5.0
235801003042,5.0,5.0
235801003051,5.0,5.0
235801003071,5.0,5.0
235801003081,5.0,5.0
235801003121,5.0,5.0
235801003131,5.0,5.0
235801003141,5.0,5.0
235801003241,5.0,5.0
235801003431,5.0,5.0
235801003441,5.0,5.0
235801003471,5.0,5.0
235801003521,5.0,4.972054628632939
235801003551,4.0,3.391732497702763
235801003561,5.0,5.0
235801003621,5.0,5.0
235801003631,5.0,5.0
235801003731,5.0,5.0
235801003751,5.0,5.0
235801003851,5.0,5.0
235801003911,5.0,5.0
235801003961,5.0,5.0
235801003991,5.0,5.0
235801004061,5.0,5.0
235801004181,5.0,5.0
235801004211,5.0,5.0
235801004261,5.0,5.0
235801004291,5.0,5.0
235801004381,4.0,3.3857014290364513
235801004481,5.0,5.0
235801004501,5.0,5.0
235801004601,5.0,5.0
235801004691,5.0,5.0
235801004721,5.0,5.0
235801004771,5.0,5.0
235801004851,5.0,5.0
235801004891,1.0,1.836721819690398
235802000021,5.0,5.0
235802000281,5.0,5.0
235802000291,5.0,5.0
235802000352,5.0,5.0
235802000361,5.0,5.0
235802000451,5.0,5.0
235802000491,5.0,5.0
235802000511,5.0,5.0
235802000541,5.0,5.0
235802000621,5.0,5.0
235802000641,5.0,5.0
235802000671,5.0,5.0
235802000681,5.0,5.0
235802000682,5.0,5.0
235802000712,5.0,5.0
235802000713,5.0,5.0
235802000831,5.0,5.0
235802000851,5.0,5.0
235802000861,5.0,5.0
235802000931,5.0,5.0
235802000981,5.0,5.0
235802001091,5.0,5.0
235802001111,5.0,5.0
235802001141,5.0,5.0
235802001151,5.0,5.0
235802001171,5.0,5.0
235802001221,4.0,3.5691408885755918
235802001241,5.0,5.0
235802001291,5.0,5.0
235802001301,5.0,5.0
235802001331,5.0,5.0
235802001341,5.0,5.0
235802001351,5.0,5.0
235802001381,5.0,5.0
235802001401,5.0,5.0
235802001451,5.0,5.0
235802001481,5.0,5.0
235802001511,5.0,5.0
235802001562,5.0,5.0
235802001661,5.0,5.0
235802001671,5.0,5.0
235802001731,5.0,5.0
235802001791,5.0,5.0
235802001811,4.0,3.391732497702763
235802001881,5.0,5.0
235802002061,5.0,5.0
235802002101,5.0,5.0
235802002121,5.0,5.0
235802002191,5.0,5.0
235802002251,5.0,5.0
235802002311,5.0,5.0
235802002321,5.0,5.0
235802002331,5.0,5.0
235802002382,5.0,5.0
235802002421,5.0,5.0
235803000131,5.0,5.0
235803000181,5.0,5.0
235803000231,5.0,5.0
235803000271,5.0,5.0
235803000281,4.0,3.599632989301814
235803000371,5.0,5.0
235803000431,5.0,5.0
235803000471,5.0,5.0
235803000481,5.0,5.0
235803000491,4.0,3.391732497702763
235803000511,4.0,3.4084885171488013
235803000551,5.0,5.0
235803000621,5.0,5.0
235803000661,5.0,3.4084885171488013
235803000701,5.0,5.0
235803000721,5.0,3.578704846574208
